date,lastSyncTime,steps,distance,runDistance,calories
2019-11-30,1575256876,900,589,90,22
2019-12-01,1575781430,13561,9592,749,345
2019-12-02,1575781430,5083,3632,138,124
2019-12-03,1575781428,7875,5349,343,193
2019-12-04,1575781427,2575,1905,29,67
2019-12-05,1575781429,10043,7021,252,247
2019-12-06,1575781428,10163,7170,309,249
2019-12-07,1575781427,0,0,0,0
2019-12-08,1576476808,5994,4171,268,150
2019-12-09,1576476808,4087,2955,74,102
2019-12-10,1576476811,0,0,0,0
2019-12-11,1576476811,9112,6134,465,220
2019-12-12,1576476812,6091,4237,163,151
2019-12-13,1576476812,6022,4267,214,156
2019-12-14,1576476809,0,0,0,0
2019-12-15,1576476809,10589,7486,483,275
2019-12-16,1576669137,7383,5074,248,178
2019-12-17,1576669136,8941,6078,275,205
2019-12-18,1577029640,8358,5807,415,206
2019-12-19,1577029638,10193,7106,276,252
2019-12-20,1577029649,7518,5159,251,179
2019-12-21,1577029645,9096,6193,397,226
2019-12-22,1577507347,10734,7394,293,257
2019-12-23,1577507348,9763,6764,482,238
2019-12-24,1577507347,4745,3114,295,106
2019-12-25,1577507345,13741,9720,576,355
2019-12-26,1577507344,13772,9673,749,341
2019-12-27,1577507346,9803,6698,348,235
2019-12-28,1577750954,9579,6776,303,240
2019-12-29,1577750953,10989,7787,445,277
2019-12-30,1577750955,13915,9364,942,320
2019-12-31,1578304169,7694,5525,332,206
2020-01-01,1578304165,37829,26493,3045,895
2020-01-02,1578304166,19766,13826,667,473
2020-01-03,1578304167,9130,6303,291,219
2020-01-04,1578304168,31723,22294,4139,771
2020-01-05,1578304168,9175,6477,303,234
2020-01-06,1578539535,6717,4540,346,163
2020-01-07,1578539536,6599,4513,466,173
2020-01-08,1578539537,7288,5138,215,181
2020-01-09,1579134157,9277,6541,1050,253
2020-01-10,1579134153,10006,7077,669,270
2020-01-11,1579134153,8702,6114,538,224
2020-01-12,1579134154,6454,4482,428,169
2020-01-13,1579134154,3053,2120,304,83
2020-01-14,1579134155,3518,2472,181,88
2020-01-15,1579134156,12797,9220,1157,332
2020-01-16,1580695985,3516,2350,462,87
2020-01-17,1580695986,2410,1581,151,55
2020-01-18,1580695988,18126,13552,450,495
2020-01-19,1580695990,1981,1313,121,48
2020-01-20,1580695978,2605,1718,238,61
2020-01-21,1580695979,2131,1394,238,49
2020-01-22,1580695980,11180,8009,975,287
2020-01-23,1580695981,2474,1642,209,57
2020-01-24,1580695983,2571,1681,221,61
2020-01-25,1580695984,6956,4576,380,154
2020-01-26,1580695984,4107,2694,371,92
2020-01-27,1580695986,4219,2788,388,96
2020-01-28,1580695987,11085,7895,287,288
2020-01-29,1580695989,7771,5331,375,187
2020-01-30,1580695976,11436,7944,411,284
2020-01-31,1580695979,12337,8550,666,296
2020-02-01,1580695981,22515,16638,1183,630
2020-02-02,1580695982,13945,9888,446,365
2019-11-30,1575256876,900,589,90,22
2019-12-01,1575781430,13561,9592,749,345
2019-12-02,1575781430,5083,3632,138,124
2019-12-03,1575781428,7875,5349,343,193
2019-12-04,1575781427,2575,1905,29,67
2019-12-05,1575781429,10043,7021,252,247
2019-12-06,1575781428,10163,7170,309,249
2019-12-07,1575781427,0,0,0,0
2019-12-08,1576476808,5994,4171,268,150
2019-12-09,1576476808,4087,2955,74,102
2019-12-10,1576476811,0,0,0,0
2019-12-11,1576476811,9112,6134,465,220
2019-12-12,1576476812,6091,4237,163,151
2019-12-13,1576476812,6022,4267,214,156
2019-12-14,1576476809,0,0,0,0
2019-12-15,1576476809,10589,7486,483,275
2019-12-16,1576669137,7383,5074,248,178
2019-12-17,1576669136,8941,6078,275,205
2019-12-18,1577029640,8358,5807,415,206
2019-12-19,1577029638,10193,7106,276,252
2019-12-20,1577029649,7518,5159,251,179
2019-12-21,1577029645,9096,6193,397,226
2019-12-22,1577507347,10734,7394,293,257
2019-12-23,1577507348,9763,6764,482,238
2019-12-24,1577507347,4745,3114,295,106
2019-12-25,1577507345,13741,9720,576,355
2019-12-26,1577507344,13772,9673,749,341
2019-12-27,1577507346,9803,6698,348,235
2019-12-28,1577750954,9579,6776,303,240
2019-12-29,1577750953,10989,7787,445,277
2019-12-30,1577750955,13915,9364,942,320
2019-12-31,1578304169,7694,5525,332,206
2020-01-01,1578304165,37829,26493,3045,895
2020-01-02,1578304166,19766,13826,667,473
2020-01-03,1578304167,9130,6303,291,219
2020-01-04,1578304168,31723,22294,4139,771
2020-01-05,1578304168,9175,6477,303,234
2020-01-06,1578539535,6717,4540,346,163
2020-01-07,1578539536,6599,4513,466,173
2020-01-08,1578539537,7288,5138,215,181
2020-01-09,1579134157,9277,6541,1050,253
2020-01-10,1579134153,10006,7077,669,270
2020-01-11,1579134153,8702,6114,538,224
2020-01-12,1579134154,6454,4482,428,169
2020-01-13,1579134154,3053,2120,304,83
2020-01-14,1579134155,3518,2472,181,88
2020-01-15,1579134156,12797,9220,1157,332
2020-01-16,1580695985,3516,2350,462,87
2020-01-17,1580695986,2410,1581,151,55
2020-01-18,1580695988,18126,13552,450,495
2020-01-19,1580695990,1981,1313,121,48
2020-01-20,1580695978,2605,1718,238,61
2020-01-21,1580695979,2131,1394,238,49
2020-01-22,1580695980,11180,8009,975,287
2020-01-23,1580695981,2474,1642,209,57
2020-01-24,1580695983,2571,1681,221,61
2020-01-25,1580695984,6956,4576,380,154
2020-01-26,1580695984,4107,2694,371,92
2020-01-27,1580695986,4219,2788,388,96
2020-01-28,1580695987,11085,7895,287,288
2020-01-29,1580695989,7771,5331,375,187
2020-01-30,1580695976,11436,7944,411,284
2020-01-31,1580695979,12337,8550,666,296
2020-02-01,1580695981,22515,16638,1183,630
2020-02-02,1580695982,13945,9888,446,365
