Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
06-03-2020 12:46PM,06-03-2020 3:52PM,154,32,8,186,23,85,46
05-03-2020 10:11PM,06-03-2020 6:40AM,456,53,33,509,136,223,97
05-03-2020 12:58AM,05-03-2020 5:14AM,223,33,13,256,42,116,65
03-03-2020 9:10PM,04-03-2020 3:53AM,352,51,18,403,66,203,83
02-03-2020 11:15PM,03-03-2020 5:07AM,302,50,21,352,58,184,60
02-03-2020 12:54AM,02-03-2020 5:32AM,250,28,16,278,65,126,59
01-03-2020 1:33AM,01-03-2020 4:28AM,166,9,1,175,N/A,N/A,N/A
28-02-2020 10:42PM,29-02-2020 8:20AM,479,99,24,578,72,304,103
28-02-2020 12:06PM,28-02-2020 2:42PM,144,11,1,155,N/A,N/A,N/A
27-02-2020 11:08PM,28-02-2020 7:47AM,486,25,5,518,N/A,N/A,N/A
27-02-2020 1:36AM,27-02-2020 5:55AM,241,17,1,258,N/A,N/A,N/A
26-02-2020 1:05AM,26-02-2020 6:27AM,301,21,3,322,N/A,N/A,N/A
25-02-2020 2:18PM,25-02-2020 8:30PM,351,21,4,372,N/A,N/A,N/A
25-02-2020 1:24AM,25-02-2020 6:42AM,299,18,2,317,N/A,N/A,N/A
24-02-2020 4:30PM,24-02-2020 7:16PM,165,0,0,165,N/A,N/A,N/A
23-02-2020 10:59PM,24-02-2020 6:19AM,366,74,23,440,64,236,66
22-02-2020 10:52PM,23-02-2020 6:56AM,410,73,29,483,96,219,95
21-02-2020 6:41PM,22-02-2020 6:19AM,638,60,39,698,133,393,112
21-02-2020 8:06AM,21-02-2020 10:14AM,118,9,0,128,N/A,N/A,N/A
21-02-2020 12:46AM,21-02-2020 6:11AM,287,38,20,325,77,157,53
